,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
107,11644.0,2077458.0,2013-02-21,4008454513,2013-01-05,33.0,5,6,56,40,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,202.0,0.0,0.0,0.0
108,13373.0,2078339.0,2013-03-08,4008390298,2013-01-05,114.0,7,6,67,137,62.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,172.0,0.0,0.0,0.0
109,2084.0,2078529.0,2013-03-13,4008427874,2013-01-05,20.0,8,6,56,34,67.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,165.0,0.0,0.0,0.0
110,12153.0,2076935.0,2013-02-14,4008705676,2013-01-05,20.0,4,6,56,38,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,634.0,0.0,0.0,0.0
111,1892.0,2076742.0,2013-02-12,4008452572,2013-01-05,29.0,10,6,60,5,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,55.0,2076742.0,2013-02-12,4008426108,2013-01-05,159.94,11,6,56,75,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,118.09,0.0,0.0,0.0
113,8997.0,2077778.0,2013-02-28,4008457190,2013-01-05,66.0,12,6,56,69,54.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,403.31,0.0,0.0,0.0
114,3837.0,2076935.0,2013-02-14,4008447471,2013-01-05,229.27,9,6,2,31,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,240.16,0.0,0.0,0.0
115,188.0,2078339.0,2013-03-08,4008662122,2013-01-05,29.0,7,6,67,137,62.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,257.0,0.0,0.0,0.0
116,14918.0,2076935.0,2013-02-14,4008401483,2013-01-05,28.16,9,6,2,31,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,441.27,0.0,0.0,0.0
