,Supplier Name,Supplier Number,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Po Number,Receipt Number,Department,Account Description,Fund Description,Cost Center Description,Minority Owned,Small Business,Women Owned,City,State,Zip,Country,Vendor Id,Days to Pay,Compliant Indicator
276242,Canon Solutions America,866161,2182378,09/21/2018 12:00:00 AM,19133731,08/31/2018 12:00:00 AM,41.55,526878.0,218679.0,Public Works,Office Machine Rental,Solid Waste Operations,Waste Disposal City Landfill,No,No,No,"Chicago,","IL,",60693-0149,US,190422,21,Yes
276301,Canon Solutions America,866161,2081133,04/19/2013 12:00:00 AM,4009250035,04/01/2013 12:00:00 AM,45.0,519302.0,63159.0,General Gov't & Agencies,Equipment Rental,Public Library,Library - Downtown Branch-Central Office,No,No,No,"Chicago,","IL,",60693,US,190422,18,Yes
276306,Canon Solutions America,866161,2164533,08/23/2017 12:00:00 AM,17653633,08/13/2017 12:00:00 AM,97.3,526878.0,177092.0,General Gov't & Agencies,Office Machine Rental,Public Library,Library - Eastgate Branch,No,No,No,"Chicago,","IL,",60693,US,190422,10,Yes
276319,Canon Solutions America,866161,2183520,10/19/2018 12:00:00 AM,19244536,09/30/2018 12:00:00 AM,180.4,526878.0,221915.0,Public Works,Office Machine Rental,General Fund,Shared Maint - TN Riverpark Downtown Riverwalk,No,No,No,"Chicago,","IL,",60693-0149,US,190422,19,Yes
276361,Canon Solutions America,866161,2117326,02/20/2015 12:00:00 AM,4015086248,02/01/2015 12:00:00 AM,61.0,527619.0,105108.0,General Gov't & Agencies,Equipment Rental,Public Library,Library - Downtown Branch-Central Office,No,No,No,"Chicago,","IL,",60693,US,190422,19,Yes
276383,Canon Solutions America,866161,2156404,03/17/2017 12:00:00 AM,4021626522,03/01/2017 12:00:00 AM,159.94,526878.0,162217.0,Police,Office Machine Rental,General Fund,Major Crimes,No,No,No,"Chicago,","IL,",60693,US,190422,16,Yes
276412,Canon Solutions America,866161,2209289,07/27/2020 12:00:00 AM,21679725,07/13/2020 12:00:00 AM,277.58,552282.0,291698.0,General Gov't & Agencies,Office Machine Rental,Regional Planning Agency,RPA - Agency Operations,No,No,No,"Chicago,","IL,",60693-0149,US,190422,14,Yes
276451,Canon Solutions America,866161,2151762,12/01/2016 12:00:00 AM,16603565,10/13/2016 12:00:00 AM,82.75,526878.0,151390.0,Youth & Family Development,Office Machine Rental,General Fund,Youth Dev - CAPS,No,No,No,"Chicago,","IL,",60693,US,190422,49,No
276532,Canon Solutions America,866161,2173639,03/15/2018 12:00:00 AM,18419422,03/13/2018 12:00:00 AM,108.58,526878.0,197618.0,Fire,Office Machine Rental,General Fund,Fire Deputy Chief Admin,No,No,No,"Chicago,","IL,",60693-0149,US,190422,2,Yes
276541,Canon Solutions America,866161,2157718,04/11/2017 12:00:00 AM,17151607,03/31/2017 12:00:00 AM,133.41,526878.0,164466.0,Human Resources,Office Machine Rental,On-site Medical Clinics & Wellness,WellAdvantage Center,No,No,No,"Chicago,","IL,",60693,US,190422,11,Yes
